rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
I,rin,1859,GRANDMASTER,138,162,33,96,20.4,59.3,-2
I,Sol tft,000,GRANDMASTER,131,315,44,175,14.0,55.6,
I,ほんまごめん,JP1,GRANDMASTER,95,215,31,119,14.4,55.3,
I,Itoen,JP1,MASTER,246,178,43,108,24.2,60.7,
I,k1rqi,JP1,MASTER,238,383,31,207,8.1,54.0,
I,azarea,JP1,MASTER,209,164,16,100,9.8,61.0,
I,つきのるな,moon,MASTER,203,355,36,190,10.1,53.5,
I,Emteror,2362,MASTER,203,170,25,103,14.7,60.6,
I,ドーナツ野郎,000,MASTER,203,360,52,197,14.4,54.7,
I,や む,0217,MASTER,202,142,20,89,14.1,62.7,
I,LothricNight,JP1,MASTER,184,120,17,73,14.2,60.8,2
I,ポッチャマ,Real,MASTER,167,401,57,217,14.2,54.1,
I,TsukuNeJP,TTV,MASTER,166,172,29,101,16.9,58.7,1
I,coffeelate,JP1,MASTER,157,143,21,90,14.7,62.9,1
I,chiqa,o o,MASTER,156,135,24,84,17.8,62.2,1
I,のこじん,JP1,MASTER,152,124,27,70,21.8,56.5,1
