rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1352,LastRemote,Ostar,EMERALD,55,117,23,66,19.7,56.4
1353,ｷﾚｼﾞ on Fire,JP1,EMERALD,53,92,11,56,12.0,60.9
1354,blacky48,4581,EMERALD,53,190,33,105,17.4,55.3
1355,dinog,flow,EMERALD,53,156,21,81,13.5,51.9
1356,あいす,7067,EMERALD,53,141,22,79,15.6,56.0
1357,Im behind ,JP1,EMERALD,52,116,15,68,12.9,58.6
1358,SiciliaSun,7620,EMERALD,52,46,14,32,30.4,69.6
1359,marshtomp,1709,EMERALD,51,69,15,40,21.7,58.0
1360,miruton tonton,3683,EMERALD,50,84,16,50,19.0,59.5
1361,numeros,4005,EMERALD,49,80,18,49,22.5,61.3
1362,drmday,8787,EMERALD,49,64,13,37,20.3,57.8
1363,エイジア,6455,EMERALD,49,134,15,74,11.2,55.2
1364,Ponty,777,EMERALD,48,130,30,63,23.1,48.5
1365,ひこぼしゆうき,MNM,EMERALD,48,325,54,164,16.6,50.5
1366,Zeffar,JP1,EMERALD,48,153,15,86,9.8,56.2
1367,Elcaro,KEL,EMERALD,48,80,17,46,21.2,57.5
1368,原深を知らない,JP1,EMERALD,48,125,18,70,14.4,56.0
1369,chairuu,3360,EMERALD,48,100,14,59,14.0,59.0
1370,とあるK君,JP1,EMERALD,47,137,21,83,15.3,60.6
1371,小さき者,JP1,EMERALD,47,162,21,83,13.0,51.2
1372,HonamiDevil,3057,EMERALD,46,149,16,80,10.7,53.7
1373,kurogoma702,JP1,EMERALD,46,85,16,49,18.8,57.6
1374,Vona,225,EMERALD,46,140,20,74,14.3,52.9
1375,えぬがわ,JP1,EMERALD,44,217,42,112,19.4,51.6
1376,E4syTIM,E4syt,EMERALD,44,219,33,121,15.1,55.3
1377,GIONMOARI,5133,EMERALD,44,151,22,78,14.6,51.7
1378,瀬戸内ジャックショーVT,中尊寺,EMERALD,44,146,12,85,8.2,58.2
1379,蛸葦廃船,083jp,EMERALD,44,74,17,45,23.0,60.8
1380,quLoah,lol,EMERALD,44,89,14,53,15.7,59.6
1381,revive,JP1,EMERALD,43,143,22,74,15.4,51.7
1382,apoptosis,1939,EMERALD,43,90,16,50,17.8,55.6
1383,Syeelp,0304,EMERALD,42,140,20,78,14.3,55.7
1384,鱶鰭太郎,hanak,EMERALD,41,54,16,36,29.6,66.7
1385,ファイナルシティ交通,3558,EMERALD,41,119,22,69,18.5,58.0
1386,Sakü,数 理,EMERALD,41,115,14,62,12.2,53.9
1387,hanihoho,JP1,EMERALD,39,58,13,36,22.4,62.1
1388,gondou,JP1,EMERALD,39,46,8,35,17.4,76.1
1389,AnchorI,JP1,EMERALD,39,72,9,46,12.5,63.9
1390,相沢みなみ,0114,EMERALD,39,210,33,110,15.7,52.4
1391,0tt0,JP1,EMERALD,38,108,19,60,17.6,55.6
1392,mrrenn,JP1,EMERALD,38,92,12,54,13.0,58.7
1393,わーにんわーにん,2121,EMERALD,38,206,27,114,13.1,55.3
1394,巨大なタライ,攻50,EMERALD,38,175,24,96,13.7,54.9
1395,そらみかん,JP1,EMERALD,37,130,15,69,11.5,53.1
1396,竈門炭次郎,1111,EMERALD,37,183,21,96,11.5,52.5
1397,napoli,JP1,EMERALD,36,214,35,110,16.4,51.4
1398,わしまる,9160,EMERALD,35,61,14,40,23.0,65.6
1399,癖捻剣十性癖,JP1,EMERALD,35,49,9,36,18.4,73.5
1400,クロロクロクロロ,JP1,EMERALD,34,123,16,67,13.0,54.5
1401,玉でか金次郎,JP1,EMERALD,34,114,9,70,7.9,61.4
1402,soarsora,JP1,EMERALD,34,120,14,66,11.7,55.0
1403,kibori,1055,EMERALD,34,133,32,74,24.1,55.6
1404,カオスポッド,8731,EMERALD,33,66,15,45,22.7,68.2
1405,PasaCat,4551,EMERALD,32,191,33,100,17.3,52.4
1406,こんにちは竹中さん,1111,EMERALD,32,90,13,55,14.4,61.1
1407,タル大砲の谷,DK1,EMERALD,31,112,23,65,20.5,58.0
1408,やっちょ8000歳,KAGU,EMERALD,31,187,25,103,13.4,55.1
1409,きーぼー,金融屋,EMERALD,31,191,17,101,8.9,52.9
1410,HUNGRYBUG,9685,EMERALD,31,180,22,105,12.2,58.3
1411,DROUGHT,HDR,EMERALD,31,90,15,51,16.7,56.7
1412,Lefy,hart,EMERALD,31,205,20,108,9.8,52.7
1413,あきも,87805,EMERALD,31,174,20,96,11.5,55.2
1414,kiseno,JP1,EMERALD,30,86,11,54,12.8,62.8
1415,とぅっとぅる,8185,EMERALD,30,161,24,85,14.9,52.8
1416,Gorimatsu JP,JP1,EMERALD,30,93,14,56,15.1,60.2
1417,biki244566,JP1,EMERALD,30,140,15,80,10.7,57.1
