rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
III,z34danny,NA1,DIAMOND,69,75,14,47,18.7,62.7,-3
III,TherrenGirana,NA1,DIAMOND,69,144,20,81,13.9,56.2,-3
III,fugly,ugly,DIAMOND,69,190,24,106,12.6,55.8,-2
III,BonerOwner,shiba,DIAMOND,68,116,18,67,15.5,57.8,-2
III,Fentgraves,Dead,DIAMOND,68,79,20,48,25.3,60.8,-2
III,halohalo,poop,DIAMOND,67,99,19,60,19.2,60.6,-2
III,CQMian,NA1,DIAMOND,67,135,23,75,17.0,55.6,-2
III,STEVE,zzzz,DIAMOND,67,284,32,149,11.3,52.5,-2
III,Gwen Is Immune,Inder,DIAMOND,67,169,22,91,13.0,53.8,-2
III,kikz,hello,DIAMOND,67,103,21,61,20.4,59.2,-2
III,Ana11yzed,9376,DIAMOND,67,256,28,134,10.9,52.3,-2
III,stevenlevn,NA1,DIAMOND,67,149,33,83,22.1,55.7,231
III,FinnXue,7506,DIAMOND,66,77,20,48,26.0,62.3,-2
III,ephemera,AMER,DIAMOND,66,83,24,49,28.9,59.0,-2
III,DirtyDogDave,DDD,DIAMOND,65,106,18,64,17.0,60.4,-2
III,Wolven,0438,DIAMOND,65,93,21,55,22.6,59.1,-2
III,juilex,69420,DIAMOND,65,89,19,56,21.3,62.9,-2
III,Peenut,QAQ,DIAMOND,65,155,27,78,17.4,50.3,-2
III,Xazvier,NA1,DIAMOND,65,203,21,115,10.3,56.7,-2
III,Riot zoo,NA1,DIAMOND,65,172,20,92,11.6,53.5,212
III,Nickkickiu,NA1,DIAMOND,65,89,18,49,20.2,55.1,-3
III,UncleHarry,UHTV,DIAMOND,65,97,9,60,9.3,61.9,-3
III,Yugou,777,DIAMOND,65,171,27,99,15.8,57.9,-3
III,J1Ytft,1082,DIAMOND,64,202,23,117,11.4,57.9,-3
III,smores,0221,DIAMOND,64,148,18,82,12.2,55.4,-3
III,Erlol,9321,DIAMOND,63,137,23,70,16.8,51.1,-3
III,bopstuh,PMD,DIAMOND,63,34,20,33,58.8,97.1,-3
III,Ben 10,178,DIAMOND,61,89,22,52,24.7,58.4,-3
III,Pattongeo,NA1,DIAMOND,60,115,24,63,20.9,54.8,-3
III,Kronii,Krono,DIAMOND,60,172,27,88,15.7,51.2,-3
III,Elixir Pump,Sena,DIAMOND,60,118,16,71,13.6,60.2,-3
III,Dinh,001,DIAMOND,59,138,23,78,16.7,56.5,-2
III,asianidiot,2148,DIAMOND,59,71,11,43,15.5,60.6,-2
III,Skyguythefry,NA1,DIAMOND,58,96,19,56,19.8,58.3,-2
III,BingsuMom,wawa,DIAMOND,58,159,16,82,10.1,51.6,-2
III,Sebs,999,DIAMOND,58,163,19,92,11.7,56.4,-2
III,bran,5592,DIAMOND,58,254,30,130,11.8,51.2,-2
III,CtHin,NA1,DIAMOND,57,79,16,51,20.3,64.6,-2
III,NikaNika,Smile,DIAMOND,57,156,19,83,12.2,53.2,-2
III,N1k,NA2,DIAMOND,57,229,35,115,15.3,50.2,-2
III,Milo,811,DIAMOND,57,97,16,58,16.5,59.8,-2
III,lil max,NA1,DIAMOND,57,57,16,42,28.1,73.7,-1
III,Unce,NA1,DIAMOND,57,138,18,78,13.0,56.5,-1
III,ChemicalMonster,NA1,DIAMOND,56,159,21,86,13.2,54.1,-1
III,HotTamatoes,earth,DIAMOND,56,152,25,80,16.4,52.6,-1
III,Kko Maeng Ie,Boba,DIAMOND,56,126,24,73,19.0,57.9,-1
III,Vekx3r,PEACE,DIAMOND,56,165,32,86,19.4,52.1,-1
III,Kunai,fart,DIAMOND,56,170,29,85,17.1,50.0,-1
III,theFeast,NA1,DIAMOND,55,403,32,211,7.9,52.4,-1
III,Arck,Teh,DIAMOND,55,141,19,81,13.5,57.4,-1
III,H1ghP4na,XSS,DIAMOND,55,123,15,73,12.2,59.3,
III,pilìpala,NA1,DIAMOND,54,262,43,126,16.4,48.1,
